,Index,ID,Name,cluster
518,518,19769,Mahou Sensou,2
519,519,9936,Maken Ki ,0
520,520,6201,Princess Lover ,1
521,521,9941,Tiger amp Bunny,2
522,522,433,Kumo no Mukou Yakusoku no Basho,1
523,523,239,Gankutsuou,0
524,524,4789,ef A Tale of Melodies ,1
525,525,4186,Chrome Shelled Regios,0
526,526,4280,Kara no Kyoukai 4 Garan no Dou,0
527,527,174,Tenjou Tenge,0
528,528,8408,Durarara Specials,0
529,529,486,Kino no Tabi The Beautiful World,0
530,530,28851,Koe no Katachi,1
531,531,31405,Joker Game,0
532,532,10379,Natsume Yuujinchou San,1
533,533,31,Neon Genesis Evangelion Death amp Rebirth,0
534,534,6372,Higashi no Eden Movie I The King of Eden,1
535,535,10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,1
536,536,21939,Mushishi Zoku Shou,2
537,537,32093,Tanaka kun wa Itsumo Kedaruge,1
538,538,21561,Ryuugajou Nanana no Maizoukin TV ,1
539,539,31737,Gakusen Toshi Asterisk 2nd Season,1
540,540,16512,Devil Survivor 2 The Animation,0
541,541,9863,SKET Dance,1
542,542,21511,Kantai Collection KanColle,2
543,543,10578,C ,0
544,544,3901,Baccano Specials,0
545,545,14829,Fate kaleid liner Prisma Illya,2
546,546,528,Pokemon Mewtwo no Gyakushuu,2
547,547,12467,Nazo no Kanojo X,0
548,548,30187,Sakurako san no Ashimoto ni wa Shitai ga Umatteiru,0
549,549,9260,Kizumonogatari I Tekketsu hen,0
550,550,195,Onegai Teacher,1
551,551,1723,Clannad Movie,1
552,552,3652,Higurashi no Naku Koro ni Rei,1
553,553,22101,Soredemo Sekai wa Utsukushii,1
554,554,29758,Taboo Tattoo,0
555,555,8277,Hyakka Ryouran Samurai Girls,2
556,556,24133,Taimadou Gakuen 35 Shiken Shoutai,0
557,557,6811,InuYasha Kanketsu hen,2
558,558,3167,Eve no Jikan,1
559,559,3002,Gyakkyou Burai Kaiji Ultimate Survivor,0
560,560,16904,K Missing Kings,2
561,561,20847,Seitokai Yakuindomo ,1
562,562,11665,Natsume Yuujinchou Shi,1
563,563,67,Basilisk Kouga Ninpou Chou,0
564,564,7711,Karigurashi no Arrietty,0
565,565,4437,Naruto Shippuuden Movie 2 Kizuna,2
566,566,10155,Dog Days,2
567,567,11179,Papa no Iukoto wo Kikinasai ,1
568,568,30205,Aoharu x Kikanjuu,2
569,569,22663,Seiken Tsukai no World Break,0
570,570,936,Naruto Movie 2 Dai Gekitotsu Maboroshi no Chiteiiseki Dattebayo ,2
571,571,22135,Ping Pong The Animation,1
572,572,93,Mobile Suit Gundam Seed,0
573,573,16668,Kakumeiki Valvrave,0
574,574,50,Aa Megami sama TV ,1
575,575,3667,Strike Witches,0
576,576,3342,Mnemosyne Mnemosyne no Musume tachi,0
577,577,22687,Terra Formars,0
578,578,31376,Flying Witch,1
579,579,26,Texhnolyze,0
580,580,267,Gungrave,0
581,581,14353,Death Billiards,0
582,582,5205,Kara no Kyoukai 7 Satsujin Kousatsu Kou ,0
583,583,3572,Macross F,2
584,584,32828,Amaama to Inazuma,1
585,585,8557,Shinryaku Ika Musume,1
586,586,15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai Movie,1
587,587,21353,Tokyo ESP,0
588,588,6166,Asobi ni Iku yo ,1
589,589,9330,Dragon Crisis ,2
590,590,31704,One Punch Man Road to Hero,0
591,591,9926,Sekaiichi Hatsukoi,1
592,592,7148,Ladies versus Butlers ,1
593,593,21339,Psycho Pass Movie,0
594,594,585,Mimi wo Sumaseba,2
595,595,30749,Saijaku Muhai no Bahamut,2
596,596,874,Digimon Tamers,2
597,597,3958,Kannagi,1
598,598,145,Kareshi Kanojo no Jijou,1
599,599,23079,Glasslip,1
600,600,8247,Bleach Movie 4 Jigoku hen,2
601,601,5355,Sengoku Basara,2
602,602,5204,Kara no Kyoukai 6 Boukyaku Rokuon,0
603,603,26055,JoJo no Kimyou na Bouken Stardust Crusaders 2nd Season,0
604,604,2404,Zombie Loan,0
605,605,32935,Haikyuu Karasuno Koukou VS Shiratorizawa Gakuen Koukou,1
606,606,30363,Shinmai Maou no Testament Burst,2
607,607,846,School Rumble Ni Gakki,1
608,608,7193,Aoi Bungaku Series,0
609,609,28617,Punch Line,1
610,610,25781,Shingeki no Kyojin Kuinaki Sentaku,0
611,611,597,Neko no Ongaeshi,2
612,612,31338,Hundred,1
613,613,21507,Soul Eater NOT ,2
614,614,13367,Kono Naka ni Hitori Imouto ga Iru ,1
615,615,1562,Yamato Nadeshiko Shichihenge ,1
616,616,31953,New Game ,1
617,617,19111,Love Live School Idol Project 2nd Season,1
618,618,25681,Kamisama Hajimemashita ,1
619,619,12175,Koi to Senkyo to Chocolate,1
620,620,1699,Romeo x Juliet,1
621,621,2144,Naruto Movie 3 Dai Koufun Mikazuki Jima no Animaru Panikku Dattebayo ,2
622,622,4744,Akaneiro ni Somaru Saka,1
623,623,28819,Okusama ga Seitokaichou ,1
624,624,12729,High School DxD OVA,1
625,625,18179,Yowamushi Pedal,1
626,626,8888,Code Geass Boukoku no Akito 1 Yokuryuu wa Maiorita,0
627,627,18245,White Album 2,1
628,628,24231,Hitsugi no Chaika Avenging Battle,2
629,629,63,DearS,1
630,630,856,Utawarerumono,0
631,631,10456,Kyoukaisenjou no Horizon,2
632,632,29854,Ushio to Tora TV ,2
633,633,32379,Berserk 2016 ,0
634,634,169,Shingetsutan Tsukihime,0
635,635,12883,Tsuritama,1
636,636,6895,Hakuouki,0
637,637,147,Kimi ga Nozomu Eien,1
638,638,12477,Sakasama no Patema,1
639,639,759,Tokyo Godfathers,1
